selleck_plate,run,timepoint,plate
3651,1,6h,STORE_REMOTE-PC_160427180001
3651,1,24h,R44821_160426150001
3651,2,6h,STORE_REMOTE-PC_160607190001_combined
3651,2,24h,STORE_REMOTE-PC_160620170001_combined
3652,1,6h,R44821_160607220003
3652,2,6h,R44821_15_22_49
3652,2,24h,R44821_160609180002
3653,1,6h,R44821_160620200001
3653,1,24h,R44821_160621190001
3653,2,6h,R44821_160622200001
3653,2,24h,R44821_160623230001
3654,1,6h,STORE_REMOTE-PC_160616140003
3654,1,24h,R44821_160613140001
3654,2,6h,STORE_REMOTE-PC_160623080001_combined
3654,2,24h,R44821_160615150001
3655,1,6h,R44821_160612180003
3655,1,24h,R44821_160613190001
3655,2,6h,R44821_160614200001
3655,2,24h,R44821_160615190002
3656,1,6h,R44821_160620150002
3656,1,24h,R44821_160621150001
3656,2,6h,R44821_160622150002
3656,2,24h,R44821_160623180003
8888,1,6h,R44821_190620160001
8888,1,24h,R44821_190621160001